 SIMULATION RESULTS

Cloudlet|Status |DC|Host|Host PEs |VM|VM PEs   |CloudletLen|CloudletPEs|StartTime|FinishTime|ExecTime
      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|  CPU cores|  Seconds|   Seconds| Seconds
-----------------------------------------------------------------------------------------------------
       0|SUCCESS| 2|   0|       12| 0|        2|      17875|          2|     0,10|      1,10|    1,00
       3|SUCCESS| 2|   3|       12| 3|        2|      17875|          2|     0,35|      1,32|    0,97
       6|SUCCESS| 2|   1|       12| 1|        2|      19281|          2|     0,60|      2,16|    1,56
       9|SUCCESS| 2|   2|       12| 2|        2|      18368|          2|     0,85|      2,38|    1,53
       1|SUCCESS| 2|   1|       12| 1|        2|      48782|          2|     0,10|      3,58|    3,48
      12|SUCCESS| 2|   0|       12| 0|        2|      19897|          2|     1,10|      3,90|    2,80
      15|SUCCESS| 2|   1|       12| 1|        2|      21111|          2|     1,35|      4,50|    3,15
      18|SUCCESS| 2|   2|       12| 2|        2|      18527|          2|     1,60|      4,72|    3,12
      21|SUCCESS| 2|   3|       12| 3|        2|      19161|          2|     1,85|      4,83|    2,98
      27|SUCCESS| 2|   1|       12| 1|        2|      18628|          2|     2,35|      6,07|    3,72
      24|SUCCESS| 2|   2|       12| 2|        2|      19595|          2|     2,10|      6,55|    4,45
      30|SUCCESS| 2|   3|       12| 3|        2|      19596|          2|     2,60|      7,45|    4,85
      33|SUCCESS| 2|   0|       12| 0|        2|      20091|          2|     2,85|      9,21|    6,36
      45|SUCCESS| 2|   1|       12| 1|        2|      18708|          2|     3,85|      9,21|    5,36
      39|SUCCESS| 2|   2|       12| 2|        2|      18434|          2|     3,35|      9,21|    5,86
       4|SUCCESS| 2|   0|       12| 0|        2|      48782|          2|     0,35|      9,43|    9,08
      36|SUCCESS| 2|   0|       12| 0|        2|      20197|          2|     3,10|     10,07|    6,97
      10|SUCCESS| 2|   3|       12| 3|        2|      47690|          2|     0,85|     10,29|    9,44
      42|SUCCESS| 2|   3|       12| 3|        2|      20795|          2|     3,60|     11,44|    7,84
       7|SUCCESS| 2|   0|       12| 0|        2|      48935|          2|     0,60|     12,38|   11,78
      57|SUCCESS| 2|   1|       12| 1|        2|      20036|          2|     4,85|     12,38|    7,53
      54|SUCCESS| 2|   2|       12| 2|        2|      19618|          2|     4,60|     13,02|    8,42
      51|SUCCESS| 2|   3|       12| 3|        2|      19745|          2|     4,35|     13,13|    8,78
      48|SUCCESS| 2|   0|       12| 0|        2|      20734|          2|     4,10|     13,24|    9,14
      60|SUCCESS| 2|   0|       12| 0|        2|      19675|          2|     5,10|     15,33|   10,23
      63|SUCCESS| 2|   3|       12| 3|        2|      19098|          2|     5,35|     15,44|   10,09
      78|SUCCESS| 2|   1|       12| 1|        2|      19691|          2|     6,60|     16,99|   10,39
      66|SUCCESS| 2|   3|       12| 3|        2|      20266|          2|     5,60|     17,10|   11,50
      69|SUCCESS| 2|   0|       12| 0|        2|      19977|          2|     5,85|     17,75|   11,90
      13|SUCCESS| 2|   0|       12| 0|        2|      47486|          2|     1,10|     17,86|   16,76
      72|SUCCESS| 2|   2|       12| 2|        2|      20279|          2|     6,10|     17,97|   11,87
      87|SUCCESS| 2|   1|       12| 1|        2|      18917|          2|     7,35|     18,45|   11,10
       2|SUCCESS| 2|   2|       12| 2|        2|      89578|          2|     0,10|     19,03|   18,93
      84|SUCCESS| 2|   2|       12| 2|        2|      18554|          2|     7,10|     19,14|   12,04
      81|SUCCESS| 2|   3|       12| 3|        2|      19277|          2|     6,85|     19,36|   12,51
      75|SUCCESS| 2|   0|       12| 0|        2|      20839|          2|     6,35|     19,99|   13,64
      90|SUCCESS| 2|   0|       12| 0|        2|      19422|          2|     7,60|     21,65|   14,05
      25|SUCCESS| 2|   2|       12| 2|        2|      42575|          2|     2,10|     21,86|   19,76
      96|SUCCESS| 2|   3|       12| 3|        2|      19045|          2|     8,10|     22,08|   13,98
      93|SUCCESS| 2|   2|       12| 2|        2|      19484|          2|     7,85|     22,19|   14,34
      99|SUCCESS| 2|   0|       12| 0|        2|      18904|          2|     8,35|     22,83|   14,48
     105|SUCCESS| 2|   1|       12| 1|        2|      20495|          2|     8,85|     23,45|   14,60
     102|SUCCESS| 2|   2|       12| 2|        2|      19013|          2|     8,60|     23,67|   15,07
     117|SUCCESS| 2|   1|       12| 1|        2|      19076|          2|     9,85|     24,19|   14,34
      22|SUCCESS| 2|   1|       12| 1|        2|      53158|          2|     1,85|     24,51|   22,66
     129|SUCCESS| 2|   1|       12| 1|        2|      17527|          2|    10,85|     24,62|   13,77
     108|SUCCESS| 2|   0|       12| 0|        2|      19813|          2|     9,10|     25,47|   16,37
     111|SUCCESS| 2|   3|       12| 3|        2|      19603|          2|     9,35|     25,58|   16,23
      16|SUCCESS| 2|   0|       12| 0|        2|      51863|          2|     1,35|     25,69|   24,34
     120|SUCCESS| 2|   0|       12| 0|        2|      18799|          2|    10,10|     26,50|   16,40
     114|SUCCESS| 2|   2|       12| 2|        2|      19569|          2|     9,60|     27,00|   17,40
     126|SUCCESS| 2|   3|       12| 3|        2|      19582|          2|    10,60|     28,24|   17,64
     135|SUCCESS| 2|   3|       12| 3|        2|      18516|          2|    11,35|     28,46|   17,11
     132|SUCCESS| 2|   0|       12| 0|        2|      18707|          2|    11,10|     28,56|   17,46
     123|SUCCESS| 2|   2|       12| 2|        2|      19405|          2|    10,35|     28,67|   18,32
     141|SUCCESS| 2|   1|       12| 1|        2|      21063|          2|    11,85|     30,21|   18,36
