                                         SIMULATION RESULTS

Cloudlet|Status |DC|Host|Host PEs |VM|VM PEs   |CloudletLen|CloudletPEs|StartTime|FinishTime|ExecTime
      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|  CPU cores|  Seconds|   Seconds| Seconds
-----------------------------------------------------------------------------------------------------
       0|SUCCESS| 2|   1|        5| 5|        2|      20014|          2|     0,10|      0,50|    0,40
       3|SUCCESS| 2|   0|        6| 4|        2|      20014|          2|     0,35|      1,09|    0,74
       6|SUCCESS| 2|   1|        5| 5|        2|      19057|          2|     0,60|      1,47|    0,87
       1|SUCCESS| 2|   0|        6| 0|        2|      47520|          2|     0,10|      1,80|    1,70
       9|SUCCESS| 2|   0|        6| 0|        2|      19268|          2|     0,85|      2,02|    1,17
       4|SUCCESS| 2|   1|        5| 1|        2|      47520|          2|     0,35|      2,55|    2,20
      15|SUCCESS| 2|   3|       12| 3|        2|      19622|          2|     1,35|      2,77|    1,42
      12|SUCCESS| 2|   0|        6| 4|        2|      20699|          2|     1,10|      2,98|    1,88
      18|SUCCESS| 2|   0|        6| 4|        2|      19541|          2|     1,60|      3,87|    2,27
      21|SUCCESS| 2|   2|       12| 2|        2|      20696|          2|     1,85|      3,87|    2,02
      24|SUCCESS| 2|   1|        5| 1|        2|      20355|          2|     2,10|      4,20|    2,10
      27|SUCCESS| 2|   3|       12| 3|        2|      19572|          2|     2,35|      4,58|    2,23
      30|SUCCESS| 2|   1|        5| 5|        2|      19219|          2|     2,60|      5,04|    2,44
      10|SUCCESS| 2|   1|        5| 1|        2|      51444|          2|     0,85|      5,26|    4,41
       7|SUCCESS| 2|   0|        6| 4|        2|      50439|          2|     0,60|      5,37|    4,77
      33|SUCCESS| 2|   0|        6| 0|        2|      21233|          2|     2,85|      5,58|    2,73
      36|SUCCESS| 2|   0|        6| 4|        2|      19532|          2|     3,10|      6,05|    2,95
      16|SUCCESS| 2|   2|       12| 2|        2|      49695|          2|     1,35|      6,72|    5,37
      19|SUCCESS| 2|   1|        5| 5|        2|      50272|          2|     1,60|      7,06|    5,46
      45|SUCCESS| 2|   0|        6| 0|        2|      20054|          2|     3,85|      7,17|    3,32
      22|SUCCESS| 2|   0|        6| 0|        2|      48975|          2|     1,85|      7,28|    5,43
      39|SUCCESS| 2|   3|       12| 3|        2|      20597|          2|     3,35|      7,28|    3,93
      42|SUCCESS| 2|   3|       12| 3|        2|      19133|          2|     3,60|      7,50|    3,90
      54|SUCCESS| 2|   1|        5| 1|        2|      21308|          2|     4,60|      8,21|    3,61
      48|SUCCESS| 2|   3|       12| 3|        2|      18747|          2|     4,10|      8,21|    4,11
      51|SUCCESS| 2|   2|       12| 2|        2|      19123|          2|     4,35|      8,32|    3,97
      57|SUCCESS| 2|   3|       12| 3|        2|      18821|          2|     4,85|      9,23|    4,38
      60|SUCCESS| 2|   3|       12| 3|        2|      20310|          2|     5,10|      9,92|    4,82
      25|SUCCESS| 2|   1|        5| 5|        2|      49764|          2|     2,10|     10,27|    8,17
      69|SUCCESS| 2|   0|        6| 0|        2|      20924|          2|     5,85|     10,49|    4,64
      13|SUCCESS| 2|   0|        6| 4|        2|      58600|          2|     1,10|     10,60|    9,50
      66|SUCCESS| 2|   0|        6| 4|        2|      19361|          2|     5,60|     10,82|    5,22
       2|SUCCESS| 2|   3|       12| 3|        2|     120063|          2|     0,10|     10,82|   10,72
      63|SUCCESS| 2|   0|        6| 4|        2|      21369|          2|     5,35|     10,93|    5,58
      72|SUCCESS| 2|   1|        5| 1|        2|      20749|          2|     6,10|     11,15|    5,05
      31|SUCCESS| 2|   0|        6| 4|        2|      43915|          2|     2,60|     11,85|    9,25
      75|SUCCESS| 2|   2|       12| 2|        2|      19602|          2|     6,35|     11,96|    5,61
      28|SUCCESS| 2|   0|        6| 0|        2|      56923|          2|     2,35|     12,07|    9,72
      78|SUCCESS| 2|   2|       12| 2|        2|      19655|          2|     6,60|     12,40|    5,80
      87|SUCCESS| 2|   0|        6| 0|        2|      19110|          2|     7,35|     12,51|    5,16
      81|SUCCESS| 2|   1|        5| 5|        2|      18398|          2|     6,85|     12,86|    6,01
      84|SUCCESS| 2|   1|        5| 1|        2|      20695|          2|     7,10|     13,32|    6,22
       5|SUCCESS| 2|   2|       12| 2|        2|     120063|          2|     0,35|     14,09|   13,74
      90|SUCCESS| 2|   1|        5| 5|        2|      19887|          2|     7,60|     15,15|    7,55
      93|SUCCESS| 2|   0|        6| 4|        2|      19893|          2|     7,85|     15,48|    7,63
     111|SUCCESS| 2|   3|       12| 3|        2|      20170|          2|     9,35|     15,48|    6,13
     102|SUCCESS| 2|   2|       12| 2|        2|      20010|          2|     8,60|     15,70|    7,10
      40|SUCCESS| 2|   2|       12| 2|        2|      48788|          2|     3,35|     15,80|   12,45
      96|SUCCESS| 2|   1|        5| 1|        2|      21374|          2|     8,10|     15,91|    7,81
      99|SUCCESS| 2|   0|        6| 4|        2|      19681|          2|     8,35|     16,27|    7,92
      37|SUCCESS| 2|   1|        5| 1|        2|      57498|          2|     3,10|     16,72|   13,62
      17|SUCCESS| 2|   3|       12| 3|        2|      82528|          2|     1,35|     17,80|   16,45
      34|SUCCESS| 2|   2|       12| 2|        2|      58124|          2|     2,85|     17,91|   15,06
      52|SUCCESS| 2|   3|       12| 3|        2|      48236|          2|     4,35|     18,02|   13,67
      55|SUCCESS| 2|   1|        5| 5|        2|      42289|          2|     4,60|     18,71|   14,11
     105|SUCCESS| 2|   1|        5| 5|        2|      21817|          2|     8,85|     18,71|    9,86
