                                         SIMULATION RESULTS

Cloudlet|Status |DC|Host|Host PEs |VM|VM PEs   |CloudletLen|CloudletPEs|StartTime|FinishTime|ExecTime
      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|  CPU cores|  Seconds|   Seconds| Seconds
-----------------------------------------------------------------------------------------------------
       0|SUCCESS| 2|   0|        0| 0|        2|      20014|          2|     0,10|      0,50|    0,40
       3|SUCCESS| 2|   3|        0| 3|        2|      20014|          2|     0,35|      0,83|    0,48
       6|SUCCESS| 2|   0|        0| 0|        2|      19057|          2|     0,60|      1,05|    0,45
       9|SUCCESS| 2|   3|        0| 3|        2|      19268|          2|     0,85|      1,27|    0,42
      12|SUCCESS| 2|   0|        0| 0|        2|      20699|          2|     1,10|      1,61|    0,51
      15|SUCCESS| 2|   3|        0| 3|        2|      19622|          2|     1,35|      1,83|    0,48
      18|SUCCESS| 2|   0|        0| 0|        2|      19541|          2|     1,60|      2,05|    0,45
       1|SUCCESS| 2|   1|        4| 1|        2|      47520|          2|     0,10|      2,05|    1,95
       4|SUCCESS| 2|   0|        0| 4|        2|      47520|          2|     0,35|      2,16|    1,81
      21|SUCCESS| 2|   3|        0| 3|        2|      20696|          2|     1,85|      2,37|    0,52
      24|SUCCESS| 2|   0|        0| 0|        2|      20355|          2|     2,10|      2,59|    0,49
      27|SUCCESS| 2|   3|        0| 3|        2|      19572|          2|     2,35|      2,81|    0,46
      30|SUCCESS| 2|   0|        0| 0|        2|      19219|          2|     2,60|      3,03|    0,43
      33|SUCCESS| 2|   3|        0| 3|        2|      21233|          2|     2,85|      3,38|    0,53
      36|SUCCESS| 2|   0|        0| 0|        2|      19532|          2|     3,10|      3,60|    0,50
      39|SUCCESS| 2|   3|        0| 3|        2|      20597|          2|     3,35|      3,82|    0,47
      42|SUCCESS| 2|   0|        0| 0|        2|      19133|          2|     3,60|      4,04|    0,44
      45|SUCCESS| 2|   3|        0| 3|        2|      20054|          2|     3,85|      4,36|    0,51
      48|SUCCESS| 2|   0|        0| 0|        2|      18747|          2|     4,10|      4,58|    0,48
      51|SUCCESS| 2|   3|        0| 3|        2|      19123|          2|     4,35|      4,80|    0,45
       7|SUCCESS| 2|   1|        4| 1|        2|      50439|          2|     0,60|      5,02|    4,42
      54|SUCCESS| 2|   0|        0| 0|        2|      21308|          2|     4,60|      5,13|    0,53
      57|SUCCESS| 2|   3|        0| 3|        2|      18821|          2|     4,85|      5,24|    0,39
      10|SUCCESS| 2|   0|        0| 4|        2|      51444|          2|     0,85|      5,46|    4,61
      60|SUCCESS| 2|   0|        0| 0|        2|      20310|          2|     5,10|      5,57|    0,47
      63|SUCCESS| 2|   3|        0| 3|        2|      21369|          2|     5,35|      5,79|    0,44
      66|SUCCESS| 2|   0|        0| 0|        2|      19361|          2|     5,60|      6,01|    0,41
      69|SUCCESS| 2|   3|        0| 3|        2|      20924|          2|     5,85|      6,34|    0,49
      72|SUCCESS| 2|   0|        0| 0|        2|      20749|          2|     6,10|      6,56|    0,46
      75|SUCCESS| 2|   3|        0| 3|        2|      19602|          2|     6,35|      6,78|    0,43
      78|SUCCESS| 2|   0|        0| 0|        2|      19655|          2|     6,60|      7,10|    0,50
      81|SUCCESS| 2|   3|        0| 3|        2|      18398|          2|     6,85|      7,32|    0,47
      84|SUCCESS| 2|   0|        0| 0|        2|      20695|          2|     7,10|      7,54|    0,44
      16|SUCCESS| 2|   0|        0| 4|        2|      49695|          2|     1,35|      7,65|    6,30
      87|SUCCESS| 2|   3|        0| 3|        2|      19110|          2|     7,35|      7,75|    0,40
      90|SUCCESS| 2|   0|        0| 0|        2|      19887|          2|     7,60|      8,11|    0,51
      93|SUCCESS| 2|   3|        0| 3|        2|      19893|          2|     7,85|      8,33|    0,48
      96|SUCCESS| 2|   0|        0| 0|        2|      21374|          2|     8,10|      8,55|    0,45
      99|SUCCESS| 2|   3|        0| 3|        2|      19681|          2|     8,35|      8,77|    0,42
     102|SUCCESS| 2|   0|        0| 0|        2|      20010|          2|     8,60|      9,11|    0,51
     105|SUCCESS| 2|   3|        0| 3|        2|      21817|          2|     8,85|      9,33|    0,48
     108|SUCCESS| 2|   0|        0| 0|        2|      21516|          2|     9,10|      9,55|    0,45
      22|SUCCESS| 2|   0|        0| 4|        2|      48975|          2|     1,85|      9,76|    7,91
     111|SUCCESS| 2|   3|        0| 3|        2|      20170|          2|     9,35|      9,76|    0,41
     114|SUCCESS| 2|   0|        0| 0|        2|      21606|          2|     9,60|     10,14|    0,54
      19|SUCCESS| 2|   1|        4| 1|        2|      50272|          2|     1,60|     10,25|    8,65
      13|SUCCESS| 2|   1|        4| 1|        2|      58600|          2|     1,10|     10,36|    9,26
     117|SUCCESS| 2|   3|        0| 3|        2|      19885|          2|     9,85|     10,36|    0,51
     120|SUCCESS| 2|   0|        0| 0|        2|      20898|          2|    10,10|     10,58|    0,48
     123|SUCCESS| 2|   3|        0| 3|        2|      19615|          2|    10,35|     10,80|    0,45
     126|SUCCESS| 2|   0|        0| 0|        2|      20966|          2|    10,60|     11,13|    0,53
     129|SUCCESS| 2|   3|        0| 3|        2|      21441|          2|    10,85|     11,35|    0,50
     132|SUCCESS| 2|   0|        0| 0|        2|      20473|          2|    11,10|     11,57|    0,47
     135|SUCCESS| 2|   3|        0| 3|        2|      20161|          2|    11,35|     11,79|    0,44
     138|SUCCESS| 2|   0|        0| 0|        2|      20049|          2|    11,60|     12,11|    0,51
      25|SUCCESS| 2|   1|        4| 1|        2|      49764|          2|     2,10|     12,33|   10,23
